product_name,brand,usage_type,category,ingredients,image_url,product_url
"Neostrata Hyaluronic Luminous Lift Daily Volumizing Gel Cream, 1.7 oz/50 g",NeoStrata,Face,Creams,"1,2-Hexanediol, Acetyl Glucosamine, Aqua/Water/Eau, Caprylyl Glycol, Cetearyl Olivate, Chlorphenesin, Dimethicone, Dimethicone Crosspolymer, Dimethiconol, Ethylhexyl Stearate, Glycerin, Glyceryl Dilaurate, Hydrolyzed Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Lactic Acid, Phenoxyethanol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/ Sebacate, Sclerotium Gum, Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Sodium Isostearate, Sodium Lactate, Sorbitan Olivate, Steareth-10, Yeast Extract",https://cdn1.skinsafeproducts.com/photo/B7B7AA6E14CB29/large_1733982323.jpeg?1733982323,https://www.skinsafeproducts.com/neostrata-hyaluronic-luminous-lift-daily-volumizing-gel-cream-1-7-oz-50-g
"Minimalist Niacinamide 05% Body Lotion, Glycerin 20% + Shea Butter + Betaine, 6.3 oz/180 g",Minimalist,Body,Lotions,"Propylene Glycol, Aqua, Betaine, Butyrospermum Parkii (Shea) Butter, C12-15 Alkyl Benzoate, C9-12 Alkane, Caprylic/Capric Triglyceride, Carbomer, Cetearyl Alcohol, Coco-Caprylate/Caprate, Dicaprylate/Dicaprate, Diisopropyl Adipate, Diisopropyl Sebacate, Ethylhexylglycerin, Glycerin, Glyceryl Stearate, Hydrogenated Polyisobutene, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isododecane, Niacinamide, Peg-100 Stearate, Petrolatum, Phenoxyethanol, Polyurethane-100, Triethanolamine, Triheptanoin, Trisodium Ethylenediamine Disuccinate",https://cdn1.skinsafeproducts.com/photo/655D1B8717DC96/large_1730660569.jpeg?1730660569,https://www.skinsafeproducts.com/minimalist-niacinamide-05-body-lotion-glycerin-20-shea-butter-betaine-6-3-oz-180-g
"SK-II Brightening Derm Revival Masks, 10 Count",SK-II,Skin Treatments,Facial Masks,"Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ascorbyl Glucoside, Benzyl Alcohol, Butylene Glycol, Disodium Edta, Galactomyces Ferment Filtrate, Glycerin, Inositol, Methylparaben, Niacinamide, Pentylene Glycol, Phenoxyethanol, Sodium Hydroxide, Water, Yeast Extract",https://cdn1.skinsafeproducts.com/photo/77BE7E9BB88C1B/large_1731099267.jpeg?1731099267,https://www.skinsafeproducts.com/sk-ii-brightening-derm-revival-masks-10-count
"Chanel La Solution 10 De Chanel Sensitive Skin Cream, 1.7 fl oz/50 mL",Chanel,Face,Creams,"Aqua (Water), Butyrospermum Parkii (Shea) Butter Extract, Camellia Sinensis Leaf Extract, Caprylyl Glycol, Glycerin, Lauroyl Lysine, Phenoxyethanol, Sodium Polyacrylate, Squalane, Steareth-21",https://cdn1.skinsafeproducts.com/photo/FEC4512B45ACF9/large_1733043462.pngpng?1733043462,https://www.skinsafeproducts.com/chanel-la-solution-10-de-chanel-sensitive-skin-cream-1-7-fl-oz-50-ml
"IsNtree Aloe Fresh Type Soothing Gel, 10.14 fl oz/300 mL",IsNtree,Body,Gels,"1,2-Hexanediol, Allantoin, Aloe Barbadensis Leaf Extract, Arginine, Betaine, Carbomer, Dipotassium Glycyrrhizate, Ethyhexylglycerin, Glycerin, Panthenol, Propanediol, Sodium Hyaluronate",https://cdn1.skinsafeproducts.com/photo/EC7A9C83DBA97C/large_1732606113.pngpng?1732606113,https://www.skinsafeproducts.com/isntree-aloe-fresh-type-soothing-gel-10-14-fl-oz-300-ml
"The Inkey List Ceramide Serum, 1.0 fl oz/30 mL",The Inkey List,Skin Treatments,Serums,"Alanine, Arginine, Aspartic Acid, Benzyl Alcohol, Butylene Glycol, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Cholesterol, Dehydroacetic Acid, Ethylhexylglycerin, Glycerin, Glycine, Histidine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isoleucine, Pca, Phenoxyethanol, Phenylalanine, Phytosphingosine, Polysorbate 60, Proline, Serine, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Gluconate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Lactate, Sodium Lauroyl Lactylate, Sodium Pca, Sodium Stearoyl Glutamate, Sorbitan Isostearate, Squalane, Threonine, Valine, Water (Aqua/Eau), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/B4399F56A8B186/large_1732059609.jpeg?1732059609,https://www.skinsafeproducts.com/the-inkey-list-ceramide-serum-1-0-fl-oz-30-ml
"Neocutis Bio Gel Firm Moisturizing Hydrogel, 1.69 fl oz/50 mL",Neocutis,Body,Gels,"Butylene Glycol, Capryloyl Carnosine, Caprylyl Glycol, Carbomer, Chondrus Crispus (Carrageenan) Extract, Cutaneous Lysate, Disodium Edta, Glycerin, Hexylene Glycol, Palmitoyl Tripeptide-1 Acetate, Peg-40 Hydrogenated Castor Oil, Peg-8, Phenoxyethanol, Potassium Sorbate, Ppg-26-Buteth-26, Sodium Hyaluronate, Sodium Hydroxide, Sodium Polyacrylate, Tetrapeptide-21, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/AA614C58F3A5B3/large_1732018066.pngpng?1732018066,https://www.skinsafeproducts.com/neocutis-bio-gel-firm-moisturizing-hydrogel-1-69-fl-oz-50-ml
"PanOxyl Adapalene Gel 0.1% Acne Treatment, 0.5 oz/15 g",PanOxyl,Skin Care,Acne Care (OTC),"Propylene Glycol, Adapalene Usp 0.1% (Retinoid) (Acne Treatment), Carbomer Homopolymer Type C, Edetate Disodium, Methylparaben, Poloxamer 182, Purified Water, Sodium Hydroxide",https://cdn1.skinsafeproducts.com/photo/0DF295E2C83F83/large_1732009974.pngpng?1732009974,https://www.skinsafeproducts.com/panoxyl-adapalene-gel-0-1-acne-treatment-0-5-oz-15-g
"Earth's Care 100% Pure Nourishing Natural Moisturizer Castor Oil, 8 fl oz/236 mL",Earth's Care,Body,Oils,Ricinus Communis (Castor) Seed Oil,https://cdn1.skinsafeproducts.com/photo/27872277F55897/large_1731627148.jpeg?1731627148,https://www.skinsafeproducts.com/earth-s-care-100-pure-nourishing-natural-moisturizer-castor-oil-8-fl-oz-236-ml
"Clinique Moisture Surge Lip Hydro-Plump Treatment, 0.34 fl oz/10 mL",Clinique,Lip Care,"Lip Balms, Gels, Moisturizers & Oils","Astrocaryum Murumuru Seed Butter, Butylene/Ethylene/Styrene Copolymer, Butyrospermum Parkii (Shea Butter), C12-16 Alcohols, Caprylic/Capric Triglyceride, Caprylic/Capric/Myristic/Stearic Triglyceride, Caprylyl Glycol, Ceramide Ng, Cholesterol, Ethylene/Propylene/Styrene Copolymer, Hydrogenated Castor Oil, Hydrogenated Lecithin, Hydrogenated Polyisobutene, Palmitic Acid, Petrolatum, Polybutene, Polyglyceryl-2 Triisostearate, Ppg-51/Smdi Copolymer, Pvp/Hexadecene Copolymer, Sea Whip Extract, Silica, Tetrahexyldecyl Ascorbate, Tocopheryl Acetate",https://cdn1.skinsafeproducts.com/photo/FE7B5891E7090B/large_1731650087.pngpng?1731650087,https://www.skinsafeproducts.com/clinique-moisture-surge-lip-hydro-plump-treatment-0-34-fl-oz-10-ml
"Jumiso Facial Essence, Snail Mucin 95 + Peptide, 4.73 fl oz/140 mL",Jumiso,Skin Treatments,Essence,"1,2-Hexanediol, Acetyl Hexapeptide-8, Adenosine, Allantoin, Arginine, Betaine, Butylene Glycol, Carbomer, Copper Tripeptide-1, Ethyl Hexanediol, Palmitoyl Pentapeptide-4, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Panthenol, Phenoxyethanol, Snail Secretion Filtrate, Sodium Hyaluronate, Sodium Polyacrylate, Water",https://cdn1.skinsafeproducts.com/photo/DA8E3FCFBA50C1/large_1731355194.jpeg?1731355194,https://www.skinsafeproducts.com/jumiso-facial-essence-snail-mucin-95-peptide-4-73-fl-oz-140-ml
"Peace Out Acne Healing Dots, Salicylic Acid + Retinol & Aloe Vera, 40 Count",Peace Out,Skin Care,Acne Care (OTC),"Aloe Barbadensis (Aloe Vera) Leaf Extract, Hydrocolloid Polymer, Retinyl Acetate, Salicylic Acid",https://cdn1.skinsafeproducts.com/photo/F7CD088FB51937/large_1700188521.jpeg?1700188521,https://www.skinsafeproducts.com/peace-out-acne-healing-dots-salicylic-acid-retinol-aloe-vera-40-count
"Rohto Hada Labo Gokujyun Cleansing Oil, 6.76 fl oz/200 mL",Rohto,Facial Cleansers,Facial Cleansing Oil,"Bht, Dextrin Palmitate/Ethylhexanoate, Ethylhexyl Palmitate, Hydroxypropyltrimonium Hyaluronate, Iodopropynyl Butylcarbamate, Olea Europaea (Olive) Fruit Oil, Peg-20 Glyceryl Triisostearate, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Acetylated Hyaluronate, Sorbeth-30 Tetraisostearate, Triethylhexanoin, Water",https://cdn1.skinsafeproducts.com/photo/8F2AEFD5F5CD22/large_1730794402.pngpng?1730794402,https://www.skinsafeproducts.com/rohto-hada-labo-gokujyun-cleansing-oil-6-76-fl-oz-200-ml
"CeraVe Moisturizing Cream, Normal to Dry Skin,16 oz/453 g",CeraVe,Body,Creams,"Aqua/Water/Eau, Behentrimonium Methosulfate, Caprylic/Capric Triglyceride, Carbomer, Ceramide Ap, Ceramide Eop, Ceramide Np, Ceteareth-20, Cetearyl Alcohol, Cetyl Alcohol, Cholesterol, Dimethicone, Dipotassium Phosphate, Disodium Edta, Ethylhexylglycerin, Glycerin, Petrolatum, Phenoxyethanol, Phytosphingosine, Potassium Phosphate, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Tocopherol, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/4F89AFD1CD4474/large_1730632024.pngpng?1730632024,https://www.skinsafeproducts.com/cerave-moisturizing-cream-3-essential-ceramides-16-oz-453-g
"Aura Cacia Organic Skin Care Oil, Castor, 4 oz/118 mL",Aura Cacia,Alternative/Natural Skin Care,Oils,Organic Ricinus Communis (Castor) Oil,https://cdn1.skinsafeproducts.com/photo/69D9D27413B14F/large_1730614797.pngpng?1730614797,https://www.skinsafeproducts.com/aura-cacia-organic-skin-care-oil-castor-4-oz-118-ml
"Guru Nanda Natural Vitamin E Oil, 2 fl oz/59 mL",GuruNanda,Alternative/Natural Skin Care,Oils,"D-Alpha-Tocopherol, Fractionated Coconut Oil, Sunflower Oil",https://cdn1.skinsafeproducts.com/photo/58BAEE370926F2/large_1730451440.pngpng?1730451440,https://www.skinsafeproducts.com/guru-nanda-natural-vitamin-e-oil-2-fl-oz-59-ml
"LightStim Baby Soft Sheet Masque, 0.5 fl oz/15 mL, Pack Of 6",LightStim,Skin Treatments,Facial Masks,"Acetyl Hexapeptide-8, Allantoin, Ascophyllum Nodosum (Seaweed) Extract, Citric Acid, Glycerin, Pentylene Glycol, Sodium Ascorbate, Sodium Hyaluronate, Sodium Hydroxide, Tetrasodium Glutamate Diacetate, Water, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/DCD0D9C1595B41/large_1730373044.pngpng?1730373044,https://www.skinsafeproducts.com/lightstim-baby-soft-sheet-masque-0-5-fl-oz-15-ml-pack-of-6
"Vanicream Facial Moisturizer, Broad Spectrum SPF 30, 2.5 oz/71 g",Vanicream,Face,Moisturizers with SPF,"1,2-Hexanediol, Bis-Octyldodecyl Dimer Dilinoleate/Propanediol Copolymer, C12-15 Alkyl Benzoate, Caprylyl Glycol, Carnosine, Ceramide Ap, Ceramide As, Ceramide Eop, Ceramide Ng, Ceramide Np, Cetearyl Alcohol, Coco-Caprylate/Caprate, Dimethicone, Glycerin, Glyceryl Stearate, Hydrogenated Lecithin, Isopentyldiol, Peg-100 Stearate, Phytosterols, Polyacrylate Crosspolymer-11, Polyhydroxystearic Acid, Purified Water, Squalane, Sucrose Stearate, Triethoxycaprylylsilane, Zinc Oxide",https://cdn1.skinsafeproducts.com/photo/A759465CF5FDE6/large_1648732984.jpeg?1648732984,https://www.skinsafeproducts.com/vanicream-facial-moisturizer-broad-spectrum-spf30-2-5-oz-71-g
"Beekman 1802 Pure Moisturizing Body Bar Soap, Goat Milk, 9 oz/255 g",Beekman 1802,Cleansers,Bar Soaps,"Caprae Lac (Goat Milk), Disodium Cocoyl Glutamate, Glycerin, Pentasodium Pentetate, Sodium Chloride, Sodium Cocoate/Sodium Palm Kernalate, Sodium Cocoyl Glutamate, Sodium Cocoyl Threoninate, Sodium Palmate, Tetrasodium Etidronate, Water (Aqua)",https://cdn1.skinsafeproducts.com/photo/7E13AF8BAEB3C0/large_1730096063.pngpng?1730096063,https://www.skinsafeproducts.com/beekman-1802-pure-goat-s-milk-body-soap-9-oz-255-g
"Aztec Secret Deep Pore Cleansing, Indian Healing Clay, 454 g",Aztec Secret,Pore Treatments,Pore Cleansing,Calcium Bentonite (Green) Clay,https://cdn1.skinsafeproducts.com/photo/93DA96974F82BE/large_1730089475.pngpng?1730089475,https://www.skinsafeproducts.com/aztec-secret-deep-pore-cleansing-indian-healing-clay-454-g
"Paula's Choice Phytoestrogen Elasticity Renewal Body Treatment, 3.3 fl oz/100 mL",Paula's Choice,Anti-Aging/Anti-Wrinkle,Anti-Aging,"Butylene Glycol, Cetyl Alcohol, Citric Acid, Coco-Caprylate/Caprate, Cyclodextrin, Daidzein, Equol, Ethylhexylglycerin, Genistein, Glycerin, Glycine Soja (Soybean) Oil, Glycine Soja (Soybean) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Polydecene, Linum Usitatissimum (Linseed) Seed Oil, Phenoxyethanol, Phospholipids, Polyglyceryl-10 Stearate, Sodium Acrylates Copolymer, Sodium Phytate, Squalane, Tocopherol, Water (Aqua), Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/61AA25E7610DFD/large_1724635113.jpeg?1724635113,https://www.skinsafeproducts.com/paula-s-choice-phytoestrogen-elasticity-renewal-body-treatment-3-3-fl-oz-100-ml
"Uriage Eau Thermale Xemose Cleansing Soothing Oil, 17 fl oz/500 mL",Uriage Eau Thermale,Facial Cleansers,Facial Cleansing Oil,"Aqua (Water, Eau), Brassica Campestris (Rapeseed) Sterols, Ceteareth-60 Myristyl Glycol, Citric Acid, Coco-Glucoside, Glycerin, Glyceryl Oleate, Hydrogenated Starch Hydrolysate, Magnesium Laureth Sulfate, Magnesium Laureth-8 Sulfate, Magnesium Oleth Sulfate, Peg-7 Glyceryl Cocoate, Peg-75 Shea Butter Glycerides, Polyquaternium-10, Polysorbate 20, Raspberry Seed Oil/Palm Oil Aminopropanediol Esters, Sodium Acetate, Sodium Chloride, Sodium Cocoamphoacetate, Sodium Cocoyl Glutamate, Sodium Laureth Sulfate, Sodium Laureth-8 Sulfate, Sodium Oleth Sulfate",https://cdn1.skinsafeproducts.com/photo/0F7B888DFFEEE8/large_1729840174.pngpng?1729840174,https://www.skinsafeproducts.com/uriage-eau-thermale-xemose-cleansing-soothing-oil-17-fl-oz-500-ml
"Lansinoh Lanolin Lip Balm, 0.25 oz/7 g, Pack Of 4",Lansinoh,Lip Care,"Lip Balms, Gels, Moisturizers & Oils",Lanolin,https://cdn1.skinsafeproducts.com/photo/D2E98F7E1A8A33/large_1729486621.pngpng?1729486621,https://www.skinsafeproducts.com/lansinoh-lanolin-lip-balm-0-25-oz-7-g
"Vanicream Cleansing Bar, 3.9 oz/110g",Vanicream,Cleansers,Bar Soaps,"Ceteareth-20, Cetearyl Alcohol, Coconut Acid, Glyceryl Stearate, Peg-20, Peg-30 Stearate, Petrolatum, Propanediol, Simethicone, Sodium Chloride, Sodium Cocoyl Isethionate, Sodium Isethionate, Sodium Laurate, Sodium Lauroyl Sarcosinate, Sorbitol, Stearic Acid, Titanium Dioxide, Water",https://cdn1.skinsafeproducts.com/photo/720D10B2D9C4D7/large_1714886168.pngpng?1714886168,https://www.skinsafeproducts.com/vanicream-cleansing-bar-sensitive-skin-3-9-oz-110g
"Aestura Atobarrier 365 Bubble Cleanser, 5.07 fl oz/150 mL",AESTURA,Cleansers,Facial Cleansers,"Butylene Glycol, Camellia Sinensis Leaf Extract, Caprylyl/Capryl Glucoside, Citric Acid, Coco-Glucoside, Disodium Cocoamphodiacetate, Disodium Cocoyl Glutamate, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Caprylate, Propanediol, Sodium Chloride, Sorbitol, Tocopherol, Water / Aqua / Eau",https://cdn1.skinsafeproducts.com/photo/744BA78BDD1D41/large_1688076537.jpeg?1688076537,https://www.skinsafeproducts.com/aestura-atobarrier-365-bubble-cleanser-5-07-fl-oz-150-ml
"Medik8 Total Moisture Daily Facial Cream, 1.6 fl oz/50 mL",Medik8,Face,Creams,"1,2-Hexanediol, Acetyl Heptapeptide-4, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Allantoin, Aqua (Water), Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Caprylic/Capric Triglyceride, Caprylyl Glycol, Carbomer, Ceramide Np, Cetearyl Alcohol, Cetearyl Glucoside, Diglycerin, Dimethicone, Disodium Edta, Ethylhexylglycerin, Glycerin, Glyceryl Glucoside, Hydrogenated Polydecene, Hydrolyzed Wheat Protein, Inulin, Lactic Acid, Linoleic Acid, Linolenic Acid, Lysine, Oryza Sativa (Rice) Lees Extract, Pca, Pentaerythrityl Tetraethylhexanoate, Phenoxyethanol, Propanediol, Saccharomyces Ferment Filtrate, Sodium Hyaluronate, Sodium Hydroxide, Sodium Pca, Sodium Polyacryloyldimethyl Taurate, Sorbitol, Squalane, Tocopherol, Tocopheryl Acetate, Trideceth-10, Urea, Xanthan Gum",https://cdn1.skinsafeproducts.com/photo/C58654A9BC7631/large_1728886382.pngpng?1728886382,https://www.skinsafeproducts.com/medik8-total-moisture-daily-facial-cream-1-6-fl-oz-50-ml
"Dr. Zenovia Hyaluronic Acid + Peptide Serum, 1.0 fl oz/30 mL",Dr. Zenovia Hormonal Dermatology,Skin Treatments,Serums,"Aloe Barbadensis Leaf Juice, Bakuchiol, Camellia Sinensis (Green Tea) Extract, Camellia Sinensis (White Tea) Extract, Copper Pca, Cucumis Sativus (Cucumber) Fruit Extract, Disodium Edta, Ergothioneine, Genistein, Glutathione, Glycerin, Hydrolyzed Sodium Hyaluronate, Palmitoyl Tripeptide-28, Phenoxyethanol, Punica Granatum Sterols, Purified Water, Resveratrol, Sodium Hyaluronate, Sodium Pca, Tocopherol Acetate, Zinc Pca",https://cdn1.skinsafeproducts.com/photo/72259A6F4D6758/large_1728639108.pngpng?1728639108,https://www.skinsafeproducts.com/dr-zenovia-hyaluronic-acid-peptide-serum-1-0-fl-oz-30-ml
