Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients_with_Concentration,Effects
14-18,Normal,Normal to Oily,Yes,Hyperpigmentation,General,Niacinamide 5% + Vitamin C 10% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Open Pores,General,Salicylic Acid 2% + Green Tea Extract 3% + Clay,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores"
14-18,Normal,Normal to Oily,Yes,Redness,General,Aloe Vera + Centella Asiatica + Chamomile Extract,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Calms redness and irritation"
14-18,Normal,Normal to Oily,Yes,Sun Tan,General,Aloe Vera + Licorice Extract 2% + Alpha Arbutin 2%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Niacinamide 5% + Zinc PCA,"Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,Yes,Wrinkles,General,Niacinamide 5%,"Improves skin elasticity and firmness, Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles"
14-18,Normal,Normal to Oily,No,Acne,Comedonal,Niacinamide 5% + Salicylic Acid 2% + Benzoyl Peroxide 2.5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Inflammatory,Salicylic Acid 2% + Niacinamide 5% + Benzoyl Peroxide 2.5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Acne,Fungal,Benzoyl Peroxide 2.5% + Niacinamide 5% + Zinc PCA,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Controls sebum production"
14-18,Normal,Normal to Oily,No,Acne,Cystic,Zinc PCA + Niacinamide 5% + Benzoyl Peroxide 2.5%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Normal,Normal to Oily,No,Dark Circles,Pigmented,Hyaluronic Acid 1% + Niacinamide 5% + Licorice Extract 2%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Circles,Vascular,Caffeine 3% + Hyaluronic Acid 1% + Licorice Extract 2%,"Reduces puffiness and improves circulation, Hydrates and plumps the skin, Lightens dark spots and evens skin tone"
14-18,Normal,Normal to Oily,No,Dark Spots,General,Kojic Acid 1% + Vitamin C 10% + Alpha Arbutin 2%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Dullness,General,Hyaluronic Acid 1% + Vitamin C 10% + Lactic Acid,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance"
14-18,Normal,Normal to Oily,No,Hyperpigmentation,General,Licorice Extract 2% + Tranexamic Acid 2% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Oily,No,Open Pores,General,Salicylic Acid 2% + Green Tea Extract 3% + Niacinamide 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Redness,General,Green Tea Extract 3% + Chamomile Extract + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Oily,No,Sun Tan,General,Licorice Extract 2% + Aloe Vera + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots"
14-18,Normal,Normal to Oily,No,Whiteheads / Blackheads,General,Niacinamide 5% + Glycolic Acid + Willow Bark Extract,"Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin, Naturally exfoliates and clears pores"
14-18,Normal,Normal to Oily,No,Wrinkles,General,Niacinamide 5% + Hyaluronic Acid 1% + Coenzyme Q10,"Reduces inflammation and regulates sebum, Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair"
14-18,Dry,Dry to Normal,Yes,Acne,Comedonal,Azelaic Acid 10% + Green Tea Extract 3% + Niacinamide 5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Acne,Inflammatory,Salicylic Acid 2% + Azelaic Acid 10% + Green Tea Extract 3%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Fungal,Zinc PCA + Niacinamide 5% + Green Tea Extract 3%,"Controls sebum production, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Acne,Cystic,Zinc PCA + Green Tea Extract 3% + Salicylic Acid 2%,"Controls sebum production, Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Pigmented,Niacinamide 5% + Caffeine 3% + Hyaluronic Acid 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Circles,Vascular,Caffeine 3% + Niacinamide 5% + Hyaluronic Acid 1%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Dark Spots,General,Alpha Arbutin 2% + Vitamin C 10% + Niacinamide 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Dullness,General,Lactic Acid + Vitamin C 10% + Hyaluronic Acid 1%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Hydrates and plumps the skin"
14-18,Dry,Dry to Normal,Yes,Hyperpigmentation,General,Licorice Extract 2% + Alpha Arbutin 2% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Open Pores,General,Niacinamide 5% + Clay + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Dry to Normal,Yes,Redness,General,Niacinamide 5% + Chamomile Extract + Centella Asiatica,"Reduces inflammation and regulates sebum, Calms redness and irritation, Soothes irritation and repairs skin barrier"
14-18,Dry,Dry to Normal,Yes,Sun Tan,General,Niacinamide 5% + Aloe Vera + Vitamin C 10%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,Yes,Whiteheads / Blackheads,General,Glycolic Acid + Zinc PCA + Niacinamide 5%,"Exfoliates dead skin cells and smooths skin, Controls sebum production, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,Yes,Wrinkles,General,Hyaluronic Acid 1% + Coenzyme Q10 + Niacinamide 5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,No,Acne,Comedonal,Zinc PCA + Azelaic Acid 10% + Benzoyl Peroxide 2.5%,"Controls sebum production, Reduces acne and improves skin texture, Kills acne-causing bacteria"
14-18,Dry,Dry to Normal,No,Acne,Inflammatory,Benzoyl Peroxide 2.5% + Azelaic Acid 10% + Salicylic Acid 2%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Acne,Fungal,Green Tea Extract 3% + Niacinamide 5% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Acne,Cystic,Benzoyl Peroxide 2.5% + Niacinamide 5% + Azelaic Acid 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
14-18,Dry,Dry to Normal,No,Dark Circles,Pigmented,Vitamin C 10% + Caffeine 3% + Caffeine 3%,"Brightens skin and reduces pigmentation, Improves blood circulation under eyes, Reduces puffiness and improves circulation"
14-18,Dry,Dry to Normal,No,Dark Circles,Vascular,Licorice Extract 2% + Hyaluronic Acid 1% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Hydrates and plumps the skin, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,No,Dark Spots,General,Licorice Extract 2% + Kojic Acid 1% + Alpha Arbutin 2%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Reduces hyperpigmentation and dark spots"
14-18,Dry,Dry to Normal,No,Dullness,General,Green Tea Extract 3% + Niacinamide 5% + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
14-18,Dry,Dry to Normal,No,Hyperpigmentation,General,Tranexamic Acid 2% + Vitamin C 10% + Niacinamide 5%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Dry to Normal,No,Open Pores,General,Green Tea Extract 3% + Azelaic Acid 10% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Dry to Normal,No,Redness,General,Centella Asiatica + Green Tea Extract 3% + Aloe Vera,"Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits, Soothes and hydrates irritated skin"
14-18,Dry,Dry to Normal,No,Sun Tan,General,Vitamin C 10% + Niacinamide 5% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Dry,Dry to Normal,No,Whiteheads / Blackheads,General,Niacinamide 5% + Zinc PCA + Willow Bark Extract,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores"
14-18,Dry,Dry to Normal,No,Wrinkles,General,Coenzyme Q10 + Niacinamide 5%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Acne,Comedonal,Benzoyl Peroxide 2.5% + Green Tea Extract 3% + Azelaic Acid 10%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture"
14-18,Dry,Extreme Dry,Yes,Acne,Inflammatory,Salicylic Acid 2% + Green Tea Extract 3% + Niacinamide 5%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Acne,Fungal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Reduces acne and improves skin texture"
14-18,Dry,Extreme Dry,Yes,Acne,Cystic,Azelaic Acid 10% + Green Tea Extract 3% + Benzoyl Peroxide 2.5%,"Reduces acne and improves skin texture, Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria"
14-18,Dry,Extreme Dry,Yes,Dark Circles,Pigmented,Vitamin C 10% + Niacinamide 5% + Licorice Extract 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone"
14-18,Dry,Extreme Dry,Yes,Dark Circles,Vascular,Caffeine 3% + Caffeine 3% + Hyaluronic Acid 1%,"Improves blood circulation under eyes, Reduces puffiness and improves circulation, Hydrates and plumps the skin"
14-18,Dry,Extreme Dry,Yes,Dark Spots,General,Vitamin C 10% + Niacinamide 5% + Kojic Acid 1%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration"
14-18,Dry,Extreme Dry,Yes,Dullness,General,Green Tea Extract 3% + Lactic Acid + Vitamin C 10%,"Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Hyperpigmentation,General,Licorice Extract 2% + Alpha Arbutin 2% + Vitamin C 10%,"Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Open Pores,General,Azelaic Acid 10% + Salicylic Acid 2% + Niacinamide 5%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,Yes,Redness,General,Green Tea Extract 3% + Niacinamide 5% + Aloe Vera,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
14-18,Dry,Extreme Dry,Yes,Sun Tan,General,Niacinamide 5% + Aloe Vera + Vitamin C 10%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,Yes,Whiteheads / Blackheads,General,Niacinamide 5% + Willow Bark Extract + Glycolic Acid,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin"
14-18,Dry,Extreme Dry,Yes,Wrinkles,General,Coenzyme Q10,"Provides antioxidant protection and supports skin repair, Improves skin elasticity and firmness, Stimulates collagen production and reduces wrinkles"
14-18,Dry,Extreme Dry,No,Acne,Comedonal,Green Tea Extract 3% + Salicylic Acid 2% + Zinc PCA,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Controls sebum production"
14-18,Dry,Extreme Dry,No,Acne,Inflammatory,Zinc PCA + Niacinamide 5% + Benzoyl Peroxide 2.5%,"Controls sebum production, Reduces inflammation and regulates sebum, Kills acne-causing bacteria"
14-18,Dry,Extreme Dry,No,Acne,Fungal,Niacinamide 5% + Benzoyl Peroxide 2.5% + Green Tea Extract 3%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits"
14-18,Dry,Extreme Dry,No,Acne,Cystic,Zinc PCA + Benzoyl Peroxide 2.5% + Salicylic Acid 2%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
14-18,Dry,Extreme Dry,No,Dark Circles,Pigmented,Caffeine 3% + Licorice Extract 2% + Vitamin C 10%,"Improves blood circulation under eyes, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,No,Dark Circles,Vascular,Licorice Extract 2% + Caffeine 3% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,No,Dark Spots,General,Niacinamide 5% + Kojic Acid 1% + Vitamin C 10%,"Reduces inflammation and regulates sebum, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation"
14-18,Dry,Extreme Dry,No,Dullness,General,Green Tea Extract 3% + Niacinamide 5% + Hyaluronic Acid 1%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Hydrates and plumps the skin"
14-18,Dry,Extreme Dry,No,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Alpha Arbutin 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots"
14-18,Dry,Extreme Dry,No,Open Pores,General,Clay + Azelaic Acid 10% + Salicylic Acid 2%,"Absorbs excess oil and tightens pores, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Dry,Extreme Dry,No,Redness,General,Centella Asiatica + Niacinamide 5% + Aloe Vera,"Soothes irritation and repairs skin barrier, Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin"
14-18,Dry,Extreme Dry,No,Sun Tan,General,Licorice Extract 2% + Vitamin C 10% + Niacinamide 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Dry,Extreme Dry,No,Whiteheads / Blackheads,General,Willow Bark Extract + Salicylic Acid 2% + Glycolic Acid,"Naturally exfoliates and clears pores, Unclogs pores and removes excess oil, Exfoliates dead skin cells and smooths skin"
14-18,Dry,Extreme Dry,No,Wrinkles,General,Niacinamide 5%,"Stimulates collagen production and reduces wrinkles, Reduces inflammation and regulates sebum, Improves skin elasticity and firmness"
14-18,Oily,Oily to Normal,Yes,Acne,Comedonal,Benzoyl Peroxide 2.5% + Zinc PCA + Salicylic Acid 2%,"Kills acne-causing bacteria, Controls sebum production, Unclogs pores and removes excess oil"
14-18,Oily,Oily to Normal,Yes,Acne,Inflammatory,Azelaic Acid 10% + Benzoyl Peroxide 2.5% + Zinc PCA,"Reduces acne and improves skin texture, Kills acne-causing bacteria, Controls sebum production"
14-18,Oily,Oily to Normal,Yes,Acne,Fungal,Green Tea Extract 3% + Azelaic Acid 10% + Salicylic Acid 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Oily,Oily to Normal,Yes,Acne,Cystic,Niacinamide 5% + Benzoyl Peroxide 2.5% + Zinc PCA,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Controls sebum production"
14-18,Oily,Oily to Normal,Yes,Dark Circles,Pigmented,Hyaluronic Acid 1% + Vitamin C 10% + Licorice Extract 2%,"Hydrates and plumps the skin, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone"
14-18,Oily,Oily to Normal,Yes,Dark Circles,Vascular,Hyaluronic Acid 1% + Caffeine 3% + Vitamin C 10%,"Hydrates and plumps the skin, Improves blood circulation under eyes, Brightens skin and reduces pigmentation"
14-18,Oily,Oily to Normal,Yes,Dark Spots,General,Vitamin C 10% + Alpha Arbutin 2% + Niacinamide 5%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum"
14-18,Oily,Oily to Normal,Yes,Dullness,General,Green Tea Extract 3% + Niacinamide 5% + Lactic Acid,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance"
14-18,Oily,Oily to Normal,Yes,Hyperpigmentation,General,Vitamin C 10% + Niacinamide 5% + Tranexamic Acid 2%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces melanin production and pigmentation"
14-18,Oily,Oily to Normal,Yes,Open Pores,General,Green Tea Extract 3% + Salicylic Acid 2% + Niacinamide 5%,"Provides antioxidant and anti-inflammatory benefits, Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum"
14-18,Oily,Oily to Normal,Yes,Redness,General,Niacinamide 5% + Aloe Vera + Chamomile Extract,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Calms redness and irritation"
14-18,Oily,Oily to Normal,Yes,Sun Tan,General,Niacinamide 5% + Licorice Extract 2% + Alpha Arbutin 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots"
14-18,Oily,Oily to Normal,Yes,Whiteheads / Blackheads,General,Zinc PCA + Salicylic Acid 2% + Willow Bark Extract,"Controls sebum production, Unclogs pores and removes excess oil, Naturally exfoliates and clears pores"
14-18,Oily,Oily to Normal,Yes,Wrinkles,General,Coenzyme Q10 + Hyaluronic Acid 1% + Niacinamide 5%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Reduces inflammation and regulates sebum"
14-18,Oily,Oily to Normal,No,Acne,Comedonal,Niacinamide 5% + Zinc PCA + Azelaic Acid 10%,"Reduces inflammation and regulates sebum, Controls sebum production, Reduces acne and improves skin texture"
