ingredient_name,inci_name,category,benefits,skin_type_suitable,safety_rating
Acetyl Tyrosinamide,,"N-Acetyl L-Tyrosinamide is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ",Acetyl Tyrosinamide is used in skincare to treat fine lines and wrinkles and support the skin's elasticity.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Wrinkles']",Safe
Acetyl Tetrapeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Acetyl Tetrapeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Acetyl Glucosamine,,"Acetyl Glucosamine is an amino acid sugar.  In the skin, it is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Acetyl Glucosamine is used in skincare to treat red and sensitive skin with hyperpigmentation, and for those who are looking to treat fine lines and wrinkles.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Redness', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Acetylarginyltryptophyl Diphenylglycine,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Acetylarginyltryptophyl Diphenylglycine  is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Acai Extract,,"An extract from the acai berry, used for its potent antioxidant benefits to target and prevent signs of UV and free radical damage.","Provide antioxidant benefits to the skin, fighting free radical damage and preventing premature ageing from the damage.","[' ', 'Pregnancy']",Safe
Ascorbic Acid,,A potent and multifunctional superstar skincare ingredient with decades of research behind it!,"Ascorbic acid is a powerhouse ingredient with evidence for collagen synthesis so can help make the skin firmer, helps with hyperpigmentation, dark spots, and uneven skin tone and is great for preventing damage from the sun by neutralising free radicals.

Since ascorbic acid is already in the active form needed by the skin, no conversion is necessary, and if stabilised is highly potent.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Ascophyllum Nodosum Extract,,An extract of the seaweed/algae plant and is used in cosmetic products.,Can help attract water to the upper layer of the skin and might have some antioxidant effect,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Arginine PCA,,"Arginine PCA is present in the ""natural moisturising factors"" (NMFs) which moisturise and hydrate the skin.","Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Arginine/Lysine Polypeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.",Helps to preserve the skin’s natural collagen and elastin by offsetting substances within skin that cause both to degrade over time.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Arginine HCL,,"Arginine HCL is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Arginine,,"Arginine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Great for dry and Dehydrated skin, Arginine is an antioxidant with helps smooth the surface of our skin and treats fine lines.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Argan Oil,,"Argan oil is extracted from the kernels of the argan tree fruit. It is rich in essential fatty acids, antioxidants, and vitamins, including vitamin E, which contribute to its beneficial effects on the skin.","Argan oil offers multiple benefits for the skin. It helps to moisturise and soften the skin, protect the skin against environmental damage and soothes and calms the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Arbutin,,"Arbutin is a natural compound found in various plant sources, such as bearberry, cranberries, and pears. It is used in skincare for its potential to brighten the skin, even out the complexion, and reduce the appearance of dark spots.","Arbutin offers multiple benefits for the skin. It is known for its skin-lightening properties, as it can inhibit the enzyme involved in melanin production, thereby helping to reduce the appearance of dark spots, hyperpigmentation, and uneven skin tone. Arbutin can also contribute to a more radiant and luminous complexion.","[' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy']",Safe
Aquagenium,,Aquagenium is a patented complex used in skincare products to enhance the skin's natural hydration and moisture retention abilities. It is designed to optimize the skin's water balance and improve its overall hydration levels.,"The complex claims to:
- Aims to increase the water retention capacity of the skin.
- Strengthens the skin's moisture barrier and prevent dehydration.
- May also support the skin's water circulation mechanisms which could increase water balance in the skin","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Apple Stem Cells,,Apple stem cells are derived from the stem cells of apple plants. They are used in skincare for their potential to promote skin rejuvenation and support the skin's natural repair processes.,"Apple stem cells offer potential benefits for the skin: 
- Believed to have anti-aging properties and may help stimulate the renewal and vitality of skin cells. 
- Protect against environmental stressors, and enhance the skin's natural defense mechanisms. 
- May contribute to improved skin texture and a more youthful appearance.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Apple Polyphenols,,Apple polyphenols are natural compounds found in apples and are known for their antioxidant and anti-inflammatory properties. They are commonly used in skincare for their potential to protect the skin against environmental damage and promote a healthier complexion.,"Apple polyphenols offer multiple benefits for the skin:

- Possess potent antioxidant properties, helping to neutralize  free radicals and prevent oxidative stress.
- Have anti-inflammatory effects, which can soothe and calm the skin, reducing redness and irritation.
- Assist in promoting a more even skin tone and enhancing the overall radiance of the complexion.","[' ', 'Pregnancy']",Safe
Apple Extract,,"Apple extract is derived from apples and is used in skincare for its antioxidant-rich properties. It contains various vitamins, minerals, and natural compounds that provide numerous benefits for the skin.","Apple extract offers multiple benefits for the skin:
- Provides antioxidant protection, helping to neutralize free radicals and prevent oxidative damage. 
- Nourish and revitalize the skin, promoting a healthier and more youthful appearance.
- Help in improving hydration and enhancing the overall condition of the skin.","[' ', 'Pregnancy']",Safe
Anti-Ageing Peptides,,Anti-aging peptides are synthetic or naturally derived compounds composed of short chains of amino acids. They are specifically designed to target signs of aging in the skin.,"They can help stimulate collagen production, improving skin elasticity and reducing the appearance of fine lines and wrinkles, promote skin firmness and smoothness, enhance overall texture and tone, and protect against environmental damage.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Wrinkles']",Safe
Amino Acids,,"Amino acids are the building blocks of peptides and proteins, each with a unique structure and role within the body.

Some examples include arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine, valine, yeast amino acids.","Amino acids provide numerous benefits for the skin. They help to support collagen synthesis, promoting skin elasticity and firmness. Amino acids also assist in maintaining the skin's natural moisture barrier, improving hydration levels and preventing moisture loss. Additionally, they aid in skin repair processes, assisting with cell turnover and rejuvenation.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Texture', ' ', 'Wrinkles']",Safe
Alteromonas Ferment Extract,,A multifunctional extract of seaweed/algae used in cosmetic products.,"In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Bifida Ferment Lysate,,"Probiotics are live beneficial microorganisms that provide various health benefits when applied to the skin. In skincare products, probiotics are used to support the skin's microbiome and promote overall skin health.","Probiotics offer benefits such as:
- Help maintain a balanced and healthy skin microbiome by supporting the growth of beneficial bacteria.

- Strengthen the skin's natural defense against harmful bacteria, reducing the risk of skin issues like acne and inflammation.

- Enhance the skin's barrier function, improving its resilience and protection against environmental stressors.

- Have soothing properties, helping to calm and alleviate skin irritation and redness.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Redness', ' ', 'Pregnancy']",Safe
Beta Glucan,,"Beta glucan is a natural polysaccharide derived from various sources, including yeast, oats, and mushrooms. It is used in skincare for its hydrating, soothing, and skin-replenishing properties, making it a beneficial ingredient in skincare formulations.","Beta glucan offers multiple benefits to the skin. It has excellent hydrating properties, improves skin barrier function and is able to reduce the appearance of redness and inflammation.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",Safe
Bakuchiol,,Bakuchiol is a natural compound derived from the seeds of the Psoralea corylifolia plant. It is often referred to as a natural alternative to retinol (although not nearly as well researched as retinol) due to its potential to provide similar benefits without the potential side effects associated with retinol use.,Bakuchiol is thought to offer multiple benefits. It can improve skin firmness and treat fine lines whilst it also has antioxidant benefits to prevent from free radical damage.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Azelaoyl Bis-Dipeptide,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Azelaoyl Bis-dipeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Azelaic Acid,,"Azelaic acid is a naturally occurring acid derived from grains, such as wheat, barley, and rye. It is used in skincare for its multifunctional properties, including its ability to brighten the skin, reduce hyperpigmentation, reduce redness, and address acne-prone skin.","Azelaic acid has antibacterial properties making it a good supplementary ingredient in the treatment of acne. It has anti-inflammatory properties making it a very effective treatment for rosacea, redness, and acne inflammation, and It has mild exfoliating properties and interferes with the melanin production process in the skin making it an effective ingredient for brightening and evening out the skin.","[' ', 'Acne', ' ', 'Blackheads', ' ', 'Enlarged Pores', ' ', 'Pigmentation', ' ', 'Post Blemish Marks', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Avocado Oil,,"Avocado oil is a natural oil derived from the pulp of ripe avocados. It is known for its nourishing, moisturizing, and skin-conditioning properties, making it a popular ingredient in skincare products.","Avocado oil moisturises and nourishes the skin, protects against damage and free radicals and calms irritated skin.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Avocado Ferment,,Avocado ferment is a skincare ingredient derived from fermented avocado fruit.,"Avocado ferment is rich in vitamins, minerals, and fatty acids, which help nourish and moisturize the skin. It contains antioxidants that can protect the skin against environmental damage and it also improves the skin's texture, leaving it feeling soft, supple, and revitalised.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Avene Thermal Water,,"Avène Thermal Water is a unique, natural spring water sourced from the Cévennes Mountains in Avène, France. It is known for its soothing, calming, and anti-irritating properties, making it a popular ingredient in skincare products.","Avène Thermal Water offers multiple benefits including immediate soothing and calming of any skin irritation, redness and sensitivity.
It can reinforce the skin barrier and promotes wound healing.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Asparagopsis Armata Extract,,"Asparagopsis armata extract is an extract of the red algae, asparagopsis armata, bonnemaisoniaceae","It's an antioxidant that protects, soothes and hydrates. It has great anti-ageing properties.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Ascorbyl Palmitate,,An oil-soluble Vitamin C ester.,It is used in skin products to smooth and improve the health of the skin.,"[' ', 'Fine Lines']",Safe
Ascorbyl Glucoside,,Ascorbyl Glucoside is a water-soluble derivative of Vitamin C.,It is used in skin care to brighten the skin and improve the signs of aging.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Wrinkles']",Safe
Caffeine,,"Caffeine is a natural stimulant that is commonly found in coffee, tea, and certain plants. It is used in skincare for its potential to energize, tighten, and reduce the appearance of puffiness.","Caffeine energizes the skin and helps reduce the appearance of fatigue or tiredness. It provides a temporary tightening effect, improving the appearance of sagging or loose skin. It may help reduce the appearance of puffiness or swelling, particularly around the eyes. It even offers potential antioxidant benefits, protecting the skin against free radicals and environmental stressors.","[' ', 'Dark Circles', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Eye Bags']",Safe
Caffeic Acid,,"Caffeic acid is a natural compound found in various plant sources, including coffee, fruits, and vegetables. It is used in skincare for its antioxidant, anti-inflammatory, and potential skin brightening properties.","Caffeic acid provides antioxidant protection, helping to neutralize free radicals and prevent oxidative damage to the skin. It calms redness and irritation and may contribute to skin brightening and evening out the complexion by potentially inhibiting the production of melanin.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Cabbage Leaf Extract,,"Cabbage leaf extract is derived from the leaves of cabbage, a leafy vegetable belonging to the Brassica family. It is used in skincare for its potential antioxidant, soothing, and skin-conditioning properties.","Cabbage leaf extract provides antioxidant protection, helping to neutralize free radicals and protect the skin from environmental damage.
- Offers potential soothing and calming effects on the skin, reducing redness and inflammation.
- Contains vitamins and minerals that can nourish and hydrate the skin, promoting a healthy complexion.
- May contribute to skin conditioning, leaving the skin feeling soft, smooth, and refreshed.","[' ', 'Pregnancy']",Safe
Butyl Methoxydibenzoylmethane,,"Butyl Methoxydibenzoylmethane (aka Avobenzone) is a synthetic/chemical sunscreen filter, and currently the only one to be approved globally for UVA protection (due to extremely limiting and lengthy FDA approval process on new sunscreen ingredients).","Butyl Methoxydibenzoylmethane protects against the entire UVA range, 310-400 nm, making it a great ingredient to work in combination with other, more widely available, UVB filters. The problem with this is that is degrades very quickly in the presence of sunlight, and part of the reason for the guidance to reapply sunscreen every 2 hours.","[' ', 'UV Protection']",Safe
Blue Mallow Extract,,Blue mallow extract is obtained from the flowers and leaves of the blue mallow plant (Malva sylvestris). It contains various compounds that contribute to its skincare benefits.,"Blue mallow extract offers multiple benefits including:


- Offers hydrating properties, helping to moisturize and soften the skin.


- Prevents and treats free radical damage from pollution and the sun","[' ', 'Pregnancy']",Safe
Blue Lotus Extract,,"Blue lotus extract is derived from the flowers of the blue lotus plant, scientifically known as Nymphaea caerulea. It is used in skincare for its antioxidant, soothing, and moisturizing properties. It contains various bioactive compounds that contribute to It's skincare benefits.","Blue lotus extract provides antioxidant protection, helping to combat free radicals and protect the skin from environmental damage.

It has soothing and calming effects, reducing skin redness, irritation, and inflammation, whilst it offers moisturising properties, helping to hydrate and nourish the skin. It may contribute to a more even skin tone and promote a radiant complexion.","[' ', 'Pregnancy']",Safe
Blueberry Extract,,"Blueberry extract is derived from the fruit of the blueberry plant, scientifically known as Vaccinium cyanococcus. It is used in skincare for its antioxidant-rich properties and potential benefits for promoting healthy-looking skin.","Blueberry extract provides powerful antioxidant protection, helping to neutralize free radicals and protect the skin from environmental damage.

It enhances the overall health and appearance of the skin, contributing to a radiant and youthful complexion and can help soothe and calm the skin, reducing redness.","[' ', 'Pregnancy']",Safe
Bilberry Extract,,"Bilberry is a natural fruit, rich in antioxidants to protect from free radical damage.","Bilberry extract provides antioxidant protection, helping to combat free radicals and environmental damage. It contains natural acids that may contribute to gentle exfoliation, promoting a smoother complexion, and potentially offers soothing and anti-inflammatory effects, reducing redness and irritation.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,,"Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine is a broad-spectrum UV filter, protecting across the whole UVA and UVB wavelength range (280-400 nm). It is a synthetic ingredient, also referred to as a chemical filter (as opposed to mineral/physical.)","Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine works by absorbing UVB light in the outer layers of the epidermis, then converting it into heat (to neutralise the energy which can lead to cell damage), and scattering it away from the body.

It is very photostable, so does not degrade in the presence of sunlight, unlike some other UV filters on the market. It has also been shown to improve the UV stability of other more sensitive filters, when used in combination.

Everyone, especially darker skinned individuals looking for dark skin friendly sun protection.","[' ', 'UV Protection']",Safe
Bisabolol,,"Bisabolol is a naturally occurring compound derived from chamomile plants. It is used in skincare for its soothing, anti-inflammatory, and skin-conditioning properties.","Bisabolol is a multifunctional ingredients that soothes and calms the skin, reducing redness, inflammation, and irritation. It enhances the skin's natural healing process, promoting skin repair and regeneration, helps to improve the penetration of other skincare ingredients, boosting their effectiveness and provides moisturising and skin-conditioning properties, leaving the skin feeling soft and smooth.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Bio-Active Glucosides,,Bio-active glucosides are derived from various natural sources and can include plant extracts or synthesized compounds. They are known for their ability to enhance the activity and stability of the bioactive compounds they are attached to.,"Bio-active glucosides improve the efficacy and stability of bioactive ingredients in skincare products. It can enhance the delivery and penetration of active compounds into the skin. Bio-active glucosides provide targeted benefits such as antioxidant, anti-inflammatory, or brightening effects depending on the specific bioactive compound.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Chondrus Crispus,,"It is essentially an underwater plant, designed to get its food from sunlight, much like any other plants, although from much more challenging conditions.",Helps to moisturise the skin with some benefits including the treatment of wrinkles and fine lines.,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Cholesterol,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Chlorophyll,,"Chlorophyll is a green pigment found in plants and algae, responsible for their photosynthesis process. It is sometimes used in skincare for its potential antioxidant and skin-soothing properties.","Chlorophyll offers benefits such as:
- Provides potential antioxidant benefits, helping to neutralize free radicals and protect the skin from oxidative stress.
- May contribute to skin soothing and calming effects, reducing redness and irritation.","[' ', 'Pregnancy']",Safe
Chlorella Vulgaris Extract,,Chlorella vulgaris is a green eukaryotic microalgae that was first discovered in 1890 as the first microalgae with a well-defined nucleus.,"Chlorella vulgaris extract has been shown to stimulate collagen synthesis/production.  Collagen is responsible for the strength, elasticity, smoothness and plump appearance of healthy skin.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Chamomile Extract,,"Chamomile extract is derived from the flowers of the chamomile plant, which is known for its calming and soothing properties. It is used in skincare for its potential anti-inflammatory, antioxidant, and skin-soothing benefits.","Chamomile extract provides soothing and calming effects on the skin, reducing redness, irritation, and inflammation. It exhibits potential antioxidant properties, helping to neutralize free radicals and protect the skin from environmental damage and can help promote a more even complexion and brighten the skin tone.","[' ', 'Impaired skin barrier', ' ', 'Redness']",Safe
Chlorella Protothecoides Oil,,"Chlorella protothecoides oil is the oil derived from chlorella protothecoides grown in culture, chlorellaceae.","In skin care products, Chlorella vulgaris extract has been shown to stimulate collagen synthesis. Collagen is responsible for the strength, elasticity, smoothness and plump appearance of healthy skin.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Ceramides,,Ceramides are a type of lipid or fatty molecule that are crucial components of the skin's barrier. They form a protective layer that helps prevent moisture loss and shields the skin from environmental stressors. They are used in skincare for their essential role in maintaining skin barrier function.,"Ceramides help strengthen the skin's barrier, improving its ability to retain moisture and keep irritants out. They support the skin's natural repair and regeneration processes and contribute to a smoother, softer, and more supple skin texture. They can also help soothe and calm dry, irritated, or sensitive skin.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Redness', ' ', 'Radiance', ' ', 'Texture']",Safe
Chlorella Protothecoides,,An antioxidant used in skincare as a thickening agent.,Softens and smoothes the skin whilst the antioxidants help to avoid the harmful effects of external factors on the skin,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']",Safe
Chemical UV Filters,,"Chemical UV filters are organic compounds that work by absorbing UV rays and converting them into less harmful energy, such as heat.","Chemical UV filters offer benefits such as:
- Provide broad-spectrum protection against both UVA and UVB rays, safeguarding the skin from sunburn, premature aging, and skin cancer.
- Offer a lightweight and transparent texture, making them suitable for various sunscreen formulations.
- Help to prevent the breakdown of collagen and elastin in the skin caused by UV exposure, preserving skin elasticity and firmness.
- Easily blend into the skin, reducing the appearance of white cast commonly associated with some mineral UV filters.","[' ', 'Anyone']",Safe
Caprooyl Sphingosine,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Centella Asiatica,,"Centella Asiatica, also known as Gotu Kola or Indian Pennywort, is a medicinal herb with a long history of use in traditional medicine. It is used in skincare for It's potential wound healing, anti-inflammatory, and soothing properties. It contains various bioactive compounds, including triterpenoids and flavonoids, that contribute to It's skincare benefits.","It supports wound healing as well as providing anti-ageing benefits. It has also been shown to stimulate the production of hyaluronic acid in the skin, another molecule whose production slows with age, but is essential for keeping skin looking hydrated, plump & youthful.

Centella Asiatica (or Gotu Kola or Tiger grass) is a family of ingredients. It can also be known as asiatic acid, asiaticoside, madecassic acid and madecassoside.","[' ', 'Anyone', ' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Redness', ' ', 'Pregnancy', ' ', 'Texture']",Safe
Carnosine,,"Carnosine is a naturally occurring peptide composed of the amino acids beta-alanine and L-histidine. It is used in skincare for its potential anti-aging, antioxidant, and skin-conditioning properties.","Carnosine offers antioxidant benefits to protects from damage to the skin. It can help prevent or minimise the formation of advanced glycation end products (AGEs), which contribute to skin aging. It also supports the skin's natural repair processes, promoting a healthier and more youthful appearance and offers potential skin-conditioning benefits, contributing to improved texture and hydration.","[' ', 'Redness', ' ', 'Pregnancy']",Safe
Caprooyl Phytosphingosine,,"Essential lipids, also known as skin-identical lipids, are a group of natural fats (lipids) found in the outermost layer of the skin. They play a crucial role in maintaining the skin's barrier function and overall health.","Essential lipids offer benefits such as:
- Help strengthen the skin's natural barrier, improving its ability to retain moisture and nutrients.
- Support skin cell cohesion, promoting a smooth and even skin texture.
- Protect the skin from external irritants, pollutants, and allergens.
- Contribute to the skin's resilience and overall health, helping to prevent dryness and sensitivity.","[' ', 'Dry and dehydrated skin', ' ', 'Impaired skin barrier', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']",Safe
